,C,I,G,NX,GDP_proxy
2015-01-01,1005.5583333333334,273.5235833333333,268.31041666666664,-5.175166666666669,1542.2171666666668
2015-02-01,1009.7166666666667,273.5235833333333,268.31041666666664,-4.8053333333333335,1546.7453333333335
2015-03-01,1014.6750000000001,273.5235833333333,268.31041666666664,-6.0153333333333325,1550.4936666666667
2015-04-01,1017.4250000000001,274.25866666666667,271.96658333333335,-5.226833333333333,1558.4234166666668
2015-05-01,1022.9499999999999,274.25866666666667,271.96658333333335,-5.121833333333333,1564.0534166666666
2015-06-01,1025.6583333333333,274.25866666666667,271.96658333333335,-5.457166666666664,1566.4264166666667
2015-07-01,1030.4083333333333,275.305,273.495,-5.228416666666666,1573.979916666667
2015-08-01,1033.0166666666667,275.305,273.495,-5.564333333333334,1576.2523333333334
2015-09-01,1032.2,275.305,273.495,-5.295583333333331,1575.7044166666667
2015-10-01,1032.9083333333333,273.07325,274.02008333333333,-5.198749999999999,1574.8029166666665
2015-11-01,1035.2666666666667,273.07325,274.02008333333333,-5.170416666666668,1577.1895833333333
2015-12-01,1037.6666666666667,273.07325,274.02008333333333,-5.229750000000001,1579.53025
2016-01-01,1039.8333333333333,270.35975,275.1355,-5.126833333333334,1580.2017500000002
2016-02-01,1046.2083333333333,270.35975,275.1355,-5.35825,1586.3453333333334
2016-03-01,1044.75,270.35975,275.1355,-4.868166666666667,1585.3770833333333
2016-04-01,1050.9583333333333,270.53175,276.1994166666667,-4.97725,1592.71225
2016-05-01,1054.3916666666667,270.53175,276.1994166666667,-5.164166666666665,1595.9586666666667
2016-06-01,1060.9333333333334,270.53175,276.1994166666667,-5.442083333333333,1602.222416666667
2016-07-01,1063.0583333333334,271.7975833333333,277.94216666666665,-5.304583333333333,1607.4935
2016-08-01,1065.675,271.7975833333333,277.94216666666665,-5.2197499999999994,1610.195
2016-09-01,1070.55,271.7975833333333,277.94216666666665,-5.048833333333333,1615.2409166666666
2016-10-01,1072.25,280.07933333333335,279.27208333333334,-5.1165,1626.4849166666665
2016-11-01,1074.4166666666667,280.07933333333335,279.27208333333334,-5.566666666666668,1628.2014166666668
2016-12-01,1083.825,280.07933333333335,279.27208333333334,-5.29025,1637.8861666666667
2017-01-01,1088.6416666666667,280.2584166666667,280.09725000000003,-5.533500000000002,1643.4638333333335
2017-02-01,1090.7,280.2584166666667,280.09725000000003,-5.299333333333335,1645.7563333333335
2017-03-01,1094.9916666666666,280.2584166666667,280.09725000000003,-5.4211666666666645,1649.9261666666666
2017-04-01,1097.4333333333334,286.0806666666667,281.20799999999997,-5.700416666666664,1659.0215833333336
2017-05-01,1097.6583333333333,286.0806666666667,281.20799999999997,-5.598583333333334,1659.3484166666667
2017-06-01,1102.1000000000001,286.0806666666667,281.20799999999997,-5.4993333333333325,1663.8893333333333
2017-07-01,1105.2749999999999,291.6785,283.11833333333334,-5.456916666666666,1674.6149166666664
2017-08-01,1107.8833333333334,291.6785,283.11833333333334,-5.359416666666668,1677.32075
2017-09-01,1118.1083333333333,291.6785,283.11833333333334,-5.414999999999999,1687.4901666666667
2017-10-01,1120.625,297.8705,287.95666666666665,-5.555416666666664,1700.89675
2017-11-01,1128.3833333333334,297.8705,287.95666666666665,-5.819583333333334,1708.3909166666667
2017-12-01,1138.8416666666667,297.8705,287.95666666666665,-5.953250000000001,1718.7155833333334
2018-01-01,1141.9416666666666,303.8029166666667,290.8933333333333,-6.1321666666666665,1730.5057499999998
2018-02-01,1144.8916666666667,303.8029166666667,290.8933333333333,-6.214250000000003,1733.3736666666668
2018-03-01,1149.4333333333334,303.8029166666667,290.8933333333333,-5.817416666666668,1738.3121666666666
2018-04-01,1153.2,305.22724999999997,294.85875,-5.921666666666667,1747.3643333333334
2018-05-01,1158.75,305.22724999999997,294.85875,-5.547166666666666,1753.288833333333
2018-06-01,1160.8666666666666,305.22724999999997,294.85875,-5.77575,1755.1769166666666
2018-07-01,1164.5666666666666,315.72433333333333,298.8544166666667,-6.219749999999998,1772.9256666666668
2018-08-01,1167.8333333333333,315.72433333333333,298.8544166666667,-6.260583333333333,1776.1514999999997
2018-09-01,1168.1499999999999,315.72433333333333,298.8544166666667,-6.304666666666664,1776.424083333333
2018-10-01,1173.5916666666667,316.83566666666667,300.07,-6.3770000000000024,1784.1203333333333
2018-11-01,1180.2416666666666,316.83566666666667,300.07,-6.0923333333333325,1791.0549999999998
2018-12-01,1170.9666666666667,316.83566666666667,300.07,-6.566250000000002,1781.3060833333332
2019-01-01,1173.7166666666667,320.8975,303.2954166666667,-5.999749999999997,1791.9098333333336
2019-02-01,1176.45,320.8975,303.2954166666667,-5.925749999999999,1794.7171666666666
